mass	limit	-2sigma	-1sigma	median	1sigma	2sigma	median_3sigma_disco
9	9.80E-47	6.05E-47	9.89E-47	2.31E-46	4.19E-46	6.21E-46	4.41E-46
11	2.64E-47	1.47E-47	2.69E-47	6.09E-47	1.10E-46	1.63E-46	1.22E-46
13	1.21E-47	6.35E-48	1.23E-47	2.83E-47	4.92E-47	7.38E-47	5.61E-47
16	5.86E-48	2.94E-48	5.95E-48	1.40E-47	2.47E-47	3.71E-47	2.80E-47
17	5.05E-48	2.37E-48	5.16E-48	1.19E-47	2.11E-47	3.16E-47	2.40E-47
19	3.92E-48	1.96E-48	3.97E-48	9.30E-48	1.65E-47	2.47E-47	1.88E-47
21	3.26E-48	1.64E-48	3.32E-48	7.63E-48	1.37E-47	2.06E-47	1.59E-47
23	2.91E-48	1.39E-48	3.00E-48	6.86E-48	1.21E-47	1.85E-47	1.41E-47
26	2.58E-48	1.29E-48	2.62E-48	6.10E-48	1.06E-47	1.63E-47	1.23E-47
29	2.43E-48	1.14E-48	2.46E-48	5.60E-48	9.91E-48	1.50E-47	1.15E-47
32	2.29E-48	1.08E-48	2.33E-48	5.31E-48	9.46E-48	1.43E-47	1.10E-47
36	2.21E-48	1.04E-48	2.27E-48	5.09E-48	9.27E-48	1.37E-47	1.07E-47
40	2.18E-48	1.03E-48	2.25E-48	5.06E-48	8.99E-48	1.39E-47	1.06E-47
43	2.22E-48	1.09E-48	2.25E-48	5.06E-48	9.19E-48	1.40E-47	1.06E-47
46	2.27E-48	1.06E-48	2.30E-48	5.20E-48	9.29E-48	1.40E-47	1.08E-47
65	2.55E-48	1.22E-48	2.58E-48	5.99E-48	1.07E-47	1.63E-47	1.24E-47
91	3.21E-48	1.49E-48	3.31E-48	7.42E-48	1.32E-47	2.02E-47	1.54E-47
129	4.21E-48	1.91E-48	4.31E-48	9.77E-48	1.74E-47	2.64E-47	2.05E-47
182	5.53E-48	2.55E-48	5.65E-48	1.32E-47	2.37E-47	3.59E-47	2.77E-47
256	8.15E-48	3.50E-48	8.25E-48	1.83E-47	3.22E-47	4.91E-47	3.82E-47
361	1.10E-47	5.16E-48	1.13E-47	2.50E-47	4.46E-47	6.87E-47	5.27E-47
508	1.55E-47	7.09E-48	1.58E-47	3.46E-47	6.27E-47	9.61E-47	7.37E-47
1008	3.06E-47	1.38E-47	3.14E-47	6.83E-47	1.21E-46	1.87E-46	1.44E-46
2000	5.73E-47	2.73E-47	5.94E-47	1.34E-46	2.41E-46	3.70E-46	2.86E-46
5000	1.44E-46	6.70E-47	1.48E-46	3.36E-46	6.09E-46	9.23E-46	7.08E-46
10000	2.93E-46	1.34E-46	3.00E-46	6.68E-46	1.22E-45	1.85E-45	1.42E-45
