unit: MeV
spectrum:
0.05 2.778e-11
0.15 4.922e-11
0.25 6.778e-11
0.35 8.569e-11
0.45 9.97e-11
0.55 1.094e-10
0.65 1.168e-10
0.75 1.199e-10
0.85 1.182e-10
0.95 1.155e-10
1.05 1.136e-10
1.15 1.089e-10
1.25 1.042e-10
1.35 1.013e-10
1.45 9.951e-11
1.55 9.791e-11
1.65 9.479e-11
1.75 9.111e-11
1.85 8.838e-11
1.95 8.629e-11
2.05 8.301e-11
2.15 7.705e-11
2.25 7.052e-11
2.35 6.46e-11
2.45 5.896e-11
2.55 5.387e-11
2.65 5.102e-11
2.75 4.722e-11
2.85 4.306e-11
2.95 3.866e-11
3.05 3.448e-11
3.15 3.184e-11
3.25 3.012e-11
3.35 2.726e-11
3.45 2.428e-11
3.55 2.136e-11
3.65 1.847e-11
3.75 1.558e-11
3.85 1.272e-11
3.95 1.033e-11
4.05 8.827e-12
4.15 7.406e-12
4.25 6.035e-12
4.35 4.691e-12
4.45 3.371e-12
4.55 2.088e-12
4.65 9.255e-13
4.75 6.308e-13
4.85 5.726e-13
4.95 5.162e-13
5.05 4.722e-13
5.15 4.319e-13
5.25 3.918e-13
5.35 3.522e-13
5.45 3.135e-13
5.55 2.756e-13
5.65 2.386e-13
5.75 2.025e-13
5.85 1.677e-13
5.95 1.342e-13
6.05 1.015e-13
6.15 6.976e-14
6.25 4.872e-14
6.35 3.582e-14
6.45 2.371e-14
6.55 1.247e-14
6.65 9.144e-15
6.75 8.307e-15
6.85 7.492e-15
6.95 6.7e-15
7.05 5.926e-15
7.15 5.173e-15
7.25 4.437e-15
7.35 3.715e-15
7.45 3.007e-15
7.55 2.314e-15
7.65 1.638e-15
7.75 9.75e-16
7.85 3.242e-16
7.95 0
8.05 0
8.15 0
8.25 0
8.35 0
8.45 0
8.55 0
8.65 0
8.75 0
8.85 0
8.95 0
9.05 0
9.15 0
9.25 0
9.35 0
9.45 0
9.55 0
9.65 0
9.75 0
9.85 0
9.95 0
