unit: MeV
spectrum:
0.05 9.847e-14
0.15 6.61e-14
0.25 2.866e-14
0.35 3.433e-14
0.45 5.548e-14
0.55 8.438e-14
0.65 9.745e-14
0.75 8.447e-14
0.85 6.796e-14
0.95 4.696e-14
1.05 2.201e-14
1.15 1.778e-14
1.25 2.415e-14
1.35 3.219e-14
1.45 4.133e-14
1.55 4.732e-14
1.65 5.296e-14
1.75 5.434e-14
1.85 5.824e-14
1.95 5.961e-14
2.05 5.517e-14
2.15 4.974e-14
2.25 4.357e-14
2.35 3.664e-14
2.45 3.024e-14
2.55 2.67e-14
2.65 1.965e-14
2.75 1.598e-14
2.85 1.199e-14
2.95 7.295e-15
3.05 2.608e-15
3.15 1.392e-15
3.25 1.337e-15
3.35 1.27e-15
3.45 1.191e-15
3.55 1.099e-15
3.65 9.93e-16
3.75 8.769e-16
3.85 8.181e-16
3.95 7.814e-16
4.05 6.865e-16
4.15 5.265e-16
4.25 3.35e-16
4.35 1.343e-16
4.45 1.568e-17
4.55 1.18e-17
4.65 1.065e-17
4.75 9.606e-18
4.85 8.659e-18
4.95 7.8e-18
5.05 7.021e-18
5.15 6.316e-18
5.25 5.679e-18
5.35 5.103e-18
5.45 4.582e-18
5.55 4.113e-18
5.65 3.69e-18
5.75 3.308e-18
5.85 2.964e-18
5.95 2.655e-18
6.05 2.377e-18
6.15 2.127e-18
6.25 1.902e-18
6.35 1.7e-18
6.45 1.52e-18
6.55 1.357e-18
6.65 1.212e-18
6.75 1.081e-18
6.85 9.648e-19
6.95 8.604e-19
7.05 7.668e-19
7.15 6.834e-19
7.25 6.086e-19
7.35 5.421e-19
7.45 4.823e-19
7.55 4.293e-19
7.65 3.817e-19
7.75 3.396e-19
7.85 3.017e-19
7.95 2.682e-19
8.05 2.382e-19
8.15 2.116e-19
8.25 1.878e-19
8.35 1.666e-19
8.45 1.479e-19
8.55 1.311e-19
8.65 1.163e-19
8.75 1.031e-19
8.85 9.126e-20
8.95 8.096e-20
9.05 7.173e-20
9.15 6.349e-20
9.25 5.63e-20
9.35 4.968e-20
9.45 4.411e-20
9.55 3.886e-20
9.65 3.455e-20
9.75 3.047e-20
9.85 2.685e-20
9.95 2.379e-20
