unit: MeV
spectrum:
0.05 4.072e-10
0.15 8.398e-10
0.25 1.167e-09
0.35 1.408e-09
0.45 1.586e-09
0.55 1.721e-09
0.65 1.781e-09
0.75 1.733e-09
0.85 1.649e-09
0.95 1.557e-09
1.05 1.455e-09
1.15 1.373e-09
1.25 1.326e-09
1.35 1.315e-09
1.45 1.298e-09
1.55 1.282e-09
1.65 1.27e-09
1.75 1.269e-09
1.85 1.247e-09
1.95 1.191e-09
2.05 1.123e-09
2.15 1.05e-09
2.25 9.76e-10
2.35 9.261e-10
2.45 8.838e-10
2.55 8.175e-10
2.65 7.429e-10
2.75 6.636e-10
2.85 5.913e-10
2.95 5.394e-10
3.05 4.913e-10
3.15 4.359e-10
3.25 3.801e-10
3.35 3.251e-10
3.45 2.714e-10
3.55 2.189e-10
3.65 1.713e-10
3.75 1.404e-10
3.85 1.16e-10
3.95 9.656e-11
4.05 7.766e-11
4.15 5.909e-11
4.25 4.101e-11
4.35 2.384e-11
4.45 1.427e-11
4.55 1.246e-11
4.65 1.119e-11
4.75 1.003e-11
4.85 8.923e-12
4.95 7.858e-12
5.05 6.856e-12
5.15 5.88e-12
5.25 4.995e-12
5.35 4.187e-12
5.45 3.485e-12
5.55 2.841e-12
5.65 2.275e-12
5.75 1.748e-12
5.85 1.288e-12
5.95 9.059e-13
6.05 6.845e-13
6.15 4.989e-13
6.25 3.204e-13
6.35 2.092e-13
6.45 1.807e-13
6.55 1.575e-13
6.65 1.352e-13
6.75 1.139e-13
6.85 9.362e-14
6.95 7.679e-14
7.05 6.231e-14
7.15 5.086e-14
7.25 4.09e-14
7.35 3.116e-14
7.45 2.164e-14
7.55 1.235e-14
7.65 4.977e-15
7.75 3.381e-15
7.85 3.091e-15
7.95 2.826e-15
8.05 2.582e-15
8.15 2.359e-15
8.25 2.154e-15
8.35 1.967e-15
8.45 1.796e-15
8.55 1.64e-15
8.65 1.496e-15
8.75 1.365e-15
8.85 1.245e-15
8.95 1.136e-15
9.05 1.035e-15
9.15 9.438e-16
9.25 8.601e-16
9.35 7.839e-16
9.45 7.139e-16
9.55 6.505e-16
9.65 5.924e-16
9.75 5.393e-16
9.85 4.91e-16
9.95 4.47e-16
