unit: MeV
spectrum:
0.05 1.047e-10
0.15 2.105e-10
0.25 2.99e-10
0.35 3.728e-10
0.45 4.278e-10
0.55 4.718e-10
0.65 5.076e-10
0.75 5.339e-10
0.85 5.589e-10
0.95 5.772e-10
1.05 5.906e-10
1.15 6.008e-10
1.25 6.054e-10
1.35 6.068e-10
1.45 6.02e-10
1.55 5.918e-10
1.65 5.793e-10
1.75 5.555e-10
1.85 5.279e-10
1.95 4.997e-10
2.05 4.715e-10
2.15 4.423e-10
2.25 4.116e-10
2.35 3.789e-10
2.45 3.473e-10
2.55 3.2e-10
2.65 2.928e-10
2.75 2.671e-10
2.85 2.407e-10
2.95 2.15e-10
3.05 1.916e-10
3.15 1.722e-10
3.25 1.594e-10
3.35 1.446e-10
3.45 1.286e-10
3.55 1.128e-10
3.65 9.887e-11
3.75 8.898e-11
3.85 7.949e-11
3.95 7.009e-11
4.05 6.084e-11
4.15 5.184e-11
4.25 4.311e-11
4.35 3.611e-11
4.45 3.06e-11
4.55 2.527e-11
4.65 2.082e-11
4.75 1.761e-11
4.85 1.448e-11
4.95 1.138e-11
5.05 8.32e-12
5.15 5.279e-12
5.25 2.582e-12
5.35 2.092e-12
5.45 2.052e-12
5.55 2.005e-12
5.65 1.953e-12
5.75 1.913e-12
5.85 1.889e-12
5.95 1.874e-12
6.05 1.859e-12
6.15 1.849e-12
6.25 1.816e-12
6.35 1.758e-12
6.45 1.673e-12
6.55 1.562e-12
6.65 1.439e-12
6.75 1.315e-12
6.85 1.203e-12
6.95 1.106e-12
7.05 1.009e-12
7.15 9.136e-13
7.25 8.244e-13
7.35 7.366e-13
7.45 6.518e-13
7.55 5.883e-13
7.65 5.317e-13
7.75 4.756e-13
7.85 4.206e-13
7.95 3.707e-13
8.05 3.418e-13
8.15 3.168e-13
8.25 2.924e-13
8.35 2.691e-13
8.45 2.462e-13
8.55 2.212e-13
8.65 1.939e-13
8.75 1.673e-13
8.85 1.423e-13
8.95 1.185e-13
9.05 9.57e-14
9.15 7.38e-14
9.25 5.288e-14
9.35 3.296e-14
9.45 1.392e-14
9.55 5.882e-16
9.65 0
9.75 0
9.85 0
9.95 0
