unit: MeV
spectrum:
0.05 2.187e-12
0.15 3.623e-12
0.25 4.978e-12
0.35 5.947e-12
0.45 6.707e-12
0.55 6.267e-12
0.65 5.54e-12
0.75 5.048e-12
0.85 4.831e-12
0.95 4.355e-12
1.05 3.35e-12
1.15 2.881e-12
1.25 2.542e-12
1.35 2.132e-12
1.45 1.65e-12
1.55 1.096e-12
1.65 4.763e-13
1.75 2.829e-14
1.85 7.444e-17
1.95 6.971e-17
2.05 6.511e-17
2.15 6.067e-17
2.25 5.827e-17
2.35 6.207e-17
2.45 7.549e-17
2.55 1.437e-16
2.65 3.86e-16
2.75 1.058e-15
2.85 2.449e-15
2.95 4.888e-15
3.05 8.615e-15
3.15 1.376e-14
3.25 2.041e-14
3.35 2.86e-14
3.45 3.831e-14
3.55 4.943e-14
3.65 6.176e-14
3.75 7.442e-14
3.85 8.342e-14
3.95 8.692e-14
4.05 8.637e-14
4.15 8.515e-14
4.25 8.357e-14
4.35 8.159e-14
4.45 7.92e-14
4.55 7.637e-14
4.65 7.309e-14
4.75 6.934e-14
4.85 6.511e-14
4.95 6.039e-14
5.05 5.52e-14
5.15 4.953e-14
5.25 4.342e-14
5.35 3.689e-14
5.45 2.995e-14
5.55 2.265e-14
5.65 1.53e-14
5.75 9.081e-15
5.85 4.383e-15
5.95 1.343e-15
6.05 9.221e-17
6.15 1.268e-18
6.25 1.134e-18
6.35 1.014e-18
6.45 9.06e-19
6.55 8.093e-19
6.65 7.225e-19
6.75 6.448e-19
6.85 5.752e-19
6.95 5.13e-19
7.05 4.572e-19
7.15 4.074e-19
7.25 3.629e-19
7.35 3.232e-19
7.45 2.876e-19
7.55 2.56e-19
7.65 2.275e-19
7.75 2.024e-19
7.85 1.799e-19
7.95 1.599e-19
8.05 1.42e-19
8.15 1.261e-19
8.25 1.119e-19
8.35 9.935e-20
8.45 8.819e-20
8.55 7.819e-20
8.65 6.935e-20
8.75 6.15e-20
8.85 5.441e-20
8.95 4.827e-20
9.05 4.277e-20
9.15 3.785e-20
9.25 3.356e-20
9.35 2.962e-20
9.45 2.63e-20
9.55 2.317e-20
9.65 2.06e-20
9.75 1.817e-20
9.85 1.601e-20
9.95 1.418e-20
