unit: MeV
spectrum:
0.05 3.008e-11
0.15 4.712e-11
0.25 6.202e-11
0.35 7.702e-11
0.45 9.206e-11
0.55 1.084e-10
0.65 1.217e-10
0.75 1.318e-10
0.85 1.408e-10
0.95 1.427e-10
1.05 1.374e-10
1.15 1.285e-10
1.25 1.197e-10
1.35 1.122e-10
1.45 9.954e-11
1.55 8.374e-11
1.65 6.755e-11
1.75 5.302e-11
1.85 4.296e-11
1.95 3.608e-11
2.05 3.014e-11
2.15 2.383e-11
2.25 1.716e-11
2.35 1.045e-11
2.45 6.153e-12
2.55 5.203e-12
2.65 4.838e-12
2.75 4.496e-12
2.85 4.179e-12
2.95 3.891e-12
3.05 3.633e-12
3.15 3.407e-12
3.25 3.211e-12
3.35 3.047e-12
3.45 2.913e-12
3.55 2.807e-12
3.65 2.726e-12
3.75 2.663e-12
3.85 2.58e-12
3.95 2.459e-12
4.05 2.331e-12
4.15 2.242e-12
4.25 2.196e-12
4.35 2.156e-12
4.45 2.048e-12
4.55 1.929e-12
4.65 1.813e-12
4.75 1.7e-12
4.85 1.589e-12
4.95 1.48e-12
5.05 1.372e-12
5.15 1.265e-12
5.25 1.159e-12
5.35 1.053e-12
5.45 9.475e-13
5.55 8.426e-13
5.65 7.406e-13
5.75 6.521e-13
5.85 5.804e-13
5.95 5.264e-13
6.05 4.909e-13
6.15 4.619e-13
6.25 4.208e-13
6.35 3.739e-13
6.45 3.169e-13
6.55 2.488e-13
6.65 1.769e-13
6.75 1.203e-13
6.85 9.827e-14
6.95 8.852e-14
7.05 7.969e-14
7.15 7.173e-14
7.25 6.455e-14
7.35 5.806e-14
7.45 5.22e-14
7.55 4.692e-14
7.65 4.217e-14
7.75 3.788e-14
7.85 3.402e-14
7.95 3.054e-14
8.05 2.741e-14
8.15 2.459e-14
8.25 2.207e-14
8.35 1.978e-14
8.45 1.774e-14
8.55 1.59e-14
8.65 1.425e-14
8.75 1.276e-14
8.85 1.143e-14
8.95 1.023e-14
9.05 9.158e-15
9.15 8.202e-15
9.25 7.332e-15
9.35 6.569e-15
9.45 5.862e-15
9.55 5.249e-15
9.65 4.691e-15
9.75 4.191e-15
9.85 3.746e-15
9.95 3.351e-15
