unit: MeV
spectrum:
0.05 1.679e-11
0.15 2.075e-11
0.25 1.835e-11
0.35 1.584e-11
0.45 1.334e-11
0.55 1.188e-11
0.65 1.2e-11
0.75 1.222e-11
0.85 1.239e-11
0.95 1.247e-11
1.05 1.242e-11
1.15 1.165e-11
1.25 1.078e-11
1.35 1.005e-11
1.45 9.341e-12
1.55 8.61e-12
1.65 7.905e-12
1.75 7.269e-12
1.85 6.6e-12
1.95 5.98e-12
2.05 5.463e-12
2.15 4.945e-12
2.25 4.42e-12
2.35 3.898e-12
2.45 3.384e-12
2.55 2.886e-12
2.65 2.38e-12
2.75 1.906e-12
2.85 1.527e-12
2.95 1.538e-12
3.05 1.696e-12
3.15 1.943e-12
3.25 2.275e-12
3.35 2.696e-12
3.45 3.208e-12
3.55 3.814e-12
3.65 4.499e-12
3.75 5.205e-12
3.85 5.695e-12
3.95 5.859e-12
4.05 5.9e-12
4.15 6.267e-12
4.25 7.006e-12
4.35 7.881e-12
4.45 8.593e-12
4.55 9.202e-12
4.65 9.741e-12
4.75 1.021e-11
4.85 1.045e-11
4.95 1.062e-11
5.05 1.069e-11
5.15 1.056e-11
5.25 1.038e-11
5.35 1.017e-11
5.45 9.966e-12
5.55 9.728e-12
5.65 9.469e-12
5.75 9.263e-12
5.85 9.135e-12
5.95 9.05e-12
6.05 8.962e-12
6.15 8.899e-12
6.25 8.734e-12
6.35 8.45e-12
6.45 8.039e-12
6.55 7.503e-12
6.65 6.912e-12
6.75 6.32e-12
6.85 5.783e-12
6.95 5.32e-12
7.05 4.853e-12
7.15 4.395e-12
7.25 3.967e-12
7.35 3.546e-12
7.45 3.138e-12
7.55 2.833e-12
7.65 2.561e-12
7.75 2.291e-12
7.85 2.027e-12
7.95 1.787e-12
8.05 1.648e-12
8.15 1.527e-12
8.25 1.41e-12
8.35 1.298e-12
8.45 1.188e-12
8.55 1.067e-12
8.65 9.355e-13
8.75 8.076e-13
8.85 6.866e-13
8.95 5.721e-13
9.05 4.621e-13
9.15 3.564e-13
9.25 2.554e-13
9.35 1.592e-13
9.45 6.724e-14
9.55 2.842e-15
9.65 0
9.75 0
9.85 0
9.95 0
