unit: MeV
spectrum:
0.05 6.928e-17
0.15 1.819e-16
0.25 3.341e-16
0.35 5.499e-16
0.45 8.465e-16
0.55 1.047e-15
0.65 1.092e-15
0.75 1.185e-15
0.85 1.35e-15
0.95 1.615e-15
1.05 2.004e-15
1.15 2.574e-15
1.25 3.486e-15
1.35 4.641e-15
1.45 5.957e-15
1.55 6.82e-15
1.65 7.639e-15
1.75 7.842e-15
1.85 8.413e-15
1.95 8.618e-15
2.05 7.981e-15
2.15 7.199e-15
2.25 6.313e-15
2.35 5.326e-15
2.45 4.426e-15
2.55 4.017e-15
2.65 3.351e-15
2.75 3.806e-15
2.85 5.28e-15
2.95 8.225e-15
3.05 1.312e-14
3.15 2.066e-14
3.25 3.066e-14
3.35 4.303e-14
3.45 5.771e-14
3.55 7.455e-14
3.65 9.326e-14
3.75 1.125e-13
3.85 1.262e-13
3.95 1.316e-13
4.05 1.308e-13
4.15 1.289e-13
4.25 1.265e-13
4.35 1.236e-13
4.45 1.2e-13
4.55 1.157e-13
4.65 1.108e-13
4.75 1.051e-13
4.85 9.877e-14
4.95 9.165e-14
5.05 8.379e-14
5.15 7.522e-14
5.25 6.597e-14
5.35 5.606e-14
5.45 4.554e-14
5.55 3.445e-14
5.65 2.328e-14
5.75 1.382e-14
5.85 6.672e-15
5.95 2.044e-15
6.05 1.393e-16
6.15 8.242e-19
6.25 7.372e-19
6.35 6.59e-19
6.45 5.889e-19
6.55 5.26e-19
6.65 4.696e-19
6.75 4.191e-19
6.85 3.739e-19
6.95 3.334e-19
7.05 2.972e-19
7.15 2.648e-19
7.25 2.359e-19
7.35 2.101e-19
7.45 1.869e-19
7.55 1.664e-19
7.65 1.479e-19
7.75 1.316e-19
7.85 1.169e-19
7.95 1.039e-19
8.05 9.23e-20
8.15 8.199e-20
8.25 7.276e-20
8.35 6.458e-20
8.45 5.732e-20
8.55 5.082e-20
8.65 4.507e-20
8.75 3.997e-20
8.85 3.537e-20
8.95 3.137e-20
9.05 2.78e-20
9.15 2.46e-20
9.25 2.182e-20
9.35 1.925e-20
9.45 1.709e-20
9.55 1.506e-20
9.65 1.339e-20
9.75 1.181e-20
9.85 1.041e-20
9.95 9.218e-21
