unit: MeV
spectrum:
0.05 2.879e-12
0.15 5.048e-12
0.25 6.218e-12
0.35 6.976e-12
0.45 7.472e-12
0.55 7.779e-12
0.65 7.941e-12
0.75 7.993e-12
0.85 7.955e-12
0.95 7.846e-12
1.05 7.678e-12
1.15 7.467e-12
1.25 7.223e-12
1.35 6.956e-12
1.45 6.672e-12
1.55 6.373e-12
1.65 6.07e-12
1.75 5.766e-12
1.85 5.465e-12
1.95 5.17e-12
2.05 4.879e-12
2.15 4.589e-12
2.25 4.304e-12
2.35 4.028e-12
2.45 3.759e-12
2.55 3.504e-12
2.65 3.259e-12
2.75 3.031e-12
2.85 2.823e-12
2.95 2.642e-12
3.05 2.49e-12
3.15 2.37e-12
3.25 2.282e-12
3.35 2.229e-12
3.45 2.211e-12
3.55 2.224e-12
3.65 2.264e-12
3.75 2.32e-12
3.85 2.336e-12
3.95 2.286e-12
4.05 2.215e-12
4.15 2.195e-12
4.25 2.23e-12
4.35 2.266e-12
4.45 2.193e-12
4.55 2.093e-12
4.65 1.991e-12
4.75 1.888e-12
4.85 1.783e-12
4.95 1.675e-12
5.05 1.563e-12
5.15 1.449e-12
5.25 1.332e-12
5.35 1.211e-12
5.45 1.088e-12
5.55 9.618e-13
5.65 8.371e-13
5.75 7.301e-13
5.85 6.461e-13
5.95 5.868e-13
6.05 5.534e-13
6.15 5.281e-13
6.25 4.826e-13
6.35 4.265e-13
6.45 3.536e-13
6.55 2.623e-13
6.65 1.641e-13
6.75 8.8e-14
6.85 6.387e-14
6.95 5.754e-14
7.05 5.18e-14
7.15 4.662e-14
7.25 4.195e-14
7.35 3.774e-14
7.45 3.393e-14
7.55 3.05e-14
7.65 2.741e-14
7.75 2.462e-14
7.85 2.211e-14
7.95 1.985e-14
8.05 1.782e-14
8.15 1.598e-14
8.25 1.434e-14
8.35 1.286e-14
8.45 1.153e-14
8.55 1.034e-14
8.65 9.262e-15
8.75 8.292e-15
8.85 7.43e-15
8.95 6.653e-15
9.05 5.953e-15
9.15 5.331e-15
9.25 4.766e-15
9.35 4.27e-15
9.45 3.81e-15
9.55 3.412e-15
9.65 3.049e-15
9.75 2.724e-15
9.85 2.435e-15
9.95 2.178e-15
