unit: MeV
spectrum:
0.05 1.689e-16
0.15 2.971e-16
0.25 3.672e-16
0.35 4.129e-16
0.45 4.426e-16
0.55 4.606e-16
0.65 4.696e-16
0.75 4.715e-16
0.85 4.678e-16
0.95 4.596e-16
1.05 4.479e-16
1.15 4.335e-16
1.25 4.171e-16
1.35 3.992e-16
1.45 3.804e-16
1.55 3.609e-16
1.65 3.411e-16
1.75 3.214e-16
1.85 3.018e-16
1.95 2.827e-16
2.05 2.64e-16
2.15 2.46e-16
2.25 2.287e-16
2.35 2.122e-16
2.45 1.964e-16
2.55 1.815e-16
2.65 1.675e-16
2.75 1.542e-16
2.85 1.418e-16
2.95 1.303e-16
3.05 1.194e-16
3.15 1.094e-16
3.25 1e-16
3.35 9.137e-17
3.45 8.337e-17
3.55 7.598e-17
3.65 6.917e-17
3.75 6.291e-17
3.85 5.717e-17
3.95 5.189e-17
4.05 4.706e-17
4.15 4.265e-17
4.25 3.861e-17
4.35 3.493e-17
4.45 3.158e-17
4.55 2.852e-17
4.65 2.575e-17
4.75 2.322e-17
4.85 2.093e-17
4.95 1.885e-17
5.05 1.697e-17
5.15 1.527e-17
5.25 1.373e-17
5.35 1.234e-17
5.45 1.108e-17
5.55 9.942e-18
5.65 8.919e-18
5.75 7.996e-18
5.85 7.165e-18
5.95 6.418e-18
6.05 5.746e-18
6.15 5.141e-18
6.25 4.598e-18
6.35 4.11e-18
6.45 3.673e-18
6.55 3.281e-18
6.65 2.929e-18
6.75 2.614e-18
6.85 2.332e-18
6.95 2.08e-18
7.05 1.854e-18
7.15 1.652e-18
7.25 1.471e-18
7.35 1.31e-18
7.45 1.166e-18
7.55 1.038e-18
7.65 9.226e-19
7.75 8.208e-19
7.85 7.293e-19
7.95 6.482e-19
8.05 5.757e-19
8.15 5.114e-19
8.25 4.539e-19
8.35 4.028e-19
8.45 3.576e-19
8.55 3.17e-19
8.65 2.812e-19
8.75 2.493e-19
8.85 2.206e-19
8.95 1.957e-19
9.05 1.734e-19
9.15 1.535e-19
9.25 1.361e-19
9.35 1.201e-19
9.45 1.066e-19
9.55 9.393e-20
9.65 8.352e-20
9.75 7.367e-20
9.85 6.491e-20
9.95 5.75e-20
