unit: MeV
spectrum:
0.05 1.79e-11
0.15 3.137e-11
0.25 3.867e-11
0.35 4.341e-11
0.45 4.651e-11
0.55 4.843e-11
0.65 4.944e-11
0.75 4.973e-11
0.85 4.947e-11
0.95 4.875e-11
1.05 4.768e-11
1.15 4.633e-11
1.25 4.477e-11
1.35 4.305e-11
1.45 4.122e-11
1.55 3.931e-11
1.65 3.737e-11
1.75 3.541e-11
1.85 3.345e-11
1.95 3.152e-11
2.05 2.963e-11
2.15 2.779e-11
2.25 2.601e-11
2.35 2.43e-11
2.45 2.266e-11
2.55 2.109e-11
2.65 1.96e-11
2.75 1.819e-11
2.85 1.685e-11
2.95 1.56e-11
3.05 1.441e-11
3.15 1.33e-11
3.25 1.227e-11
3.35 1.13e-11
3.45 1.039e-11
3.55 9.549e-12
3.65 8.767e-12
3.75 8.041e-12
3.85 7.369e-12
3.95 6.747e-12
4.05 6.173e-12
4.15 5.643e-12
4.25 5.154e-12
4.35 4.704e-12
4.45 4.291e-12
4.55 3.911e-12
4.65 3.562e-12
4.75 3.242e-12
4.85 2.95e-12
4.95 2.681e-12
5.05 2.436e-12
5.15 2.212e-12
5.25 2.008e-12
5.35 1.821e-12
5.45 1.651e-12
5.55 1.496e-12
5.65 1.355e-12
5.75 1.226e-12
5.85 1.11e-12
5.95 1.003e-12
6.05 9.071e-13
6.15 8.197e-13
6.25 7.402e-13
6.35 6.683e-13
6.45 6.031e-13
6.55 5.441e-13
6.65 4.906e-13
6.75 4.422e-13
6.85 3.984e-13
6.95 3.589e-13
7.05 3.231e-13
7.15 2.908e-13
7.25 2.617e-13
7.35 2.354e-13
7.45 2.117e-13
7.55 1.903e-13
7.65 1.71e-13
7.75 1.536e-13
7.85 1.379e-13
7.95 1.238e-13
8.05 1.111e-13
8.15 9.969e-14
8.25 8.948e-14
8.35 8.021e-14
8.45 7.193e-14
8.55 6.447e-14
8.65 5.777e-14
8.75 5.173e-14
8.85 4.635e-14
8.95 4.15e-14
9.05 3.713e-14
9.15 3.326e-14
9.25 2.973e-14
9.35 2.664e-14
9.45 2.377e-14
9.55 2.128e-14
9.65 1.902e-14
9.75 1.699e-14
9.85 1.519e-14
9.95 1.359e-14
