unit: MeV
spectrum:
0.05 8.9e-12
0.15 1.044e-11
0.25 1.122e-11
0.35 8.933e-12
0.45 6.466e-12
0.55 6.467e-12
0.65 6.959e-12
0.75 6.632e-12
0.85 5.778e-12
0.95 5.311e-12
1.05 5.071e-12
1.15 4.999e-12
1.25 5.066e-12
1.35 5.139e-12
1.45 5.253e-12
1.55 5.036e-12
1.65 4.635e-12
1.75 4.198e-12
1.85 3.315e-12
1.95 2.336e-12
2.05 1.771e-12
2.15 1.25e-12
2.25 6.464e-13
2.35 1.906e-13
2.45 1.468e-13
2.55 1.218e-13
2.65 1.05e-13
2.75 9.523e-14
2.85 9.073e-14
2.95 8.931e-14
3.05 8.837e-14
3.15 8.394e-14
3.25 7.696e-14
3.35 6.516e-14
3.45 5.082e-14
3.55 3.731e-14
3.65 2.774e-14
3.75 2.41e-14
3.85 2.084e-14
3.95 1.95e-14
4.05 2.095e-14
4.15 1.985e-14
4.25 1.802e-14
4.35 1.596e-14
4.45 1.363e-14
4.55 1.105e-14
4.65 8.295e-15
4.75 5.273e-15
4.85 3.417e-15
4.95 3.925e-15
5.05 4.544e-15
5.15 5.231e-15
5.25 5.983e-15
5.35 6.235e-15
5.45 5.746e-15
5.55 5.186e-15
5.65 4.566e-15
5.75 3.88e-15
5.85 3.113e-15
5.95 2.257e-15
6.05 1.323e-15
6.15 3.229e-16
6.25 0
6.35 0
6.45 0
6.55 0
6.65 0
6.75 0
6.85 0
6.95 0
7.05 0
7.15 0
7.25 0
7.35 0
7.45 0
7.55 0
7.65 0
7.75 0
7.85 0
7.95 0
8.05 0
8.15 0
8.25 0
8.35 0
8.45 0
8.55 0
8.65 0
8.75 0
8.85 0
8.95 0
9.05 0
9.15 0
9.25 0
9.35 0
9.45 0
9.55 0
9.65 0
9.75 0
9.85 0
9.95 0
