unit: MeV
spectrum:
0.05 9.1e-12
0.15 1.089e-11
0.25 1.294e-11
0.35 1.438e-11
0.45 1.465e-11
0.55 1.4e-11
0.65 1.34e-11
0.75 1.326e-11
0.85 1.406e-11
0.95 1.571e-11
1.05 1.746e-11
1.15 1.85e-11
1.25 1.732e-11
1.35 1.572e-11
1.45 1.44e-11
1.55 1.271e-11
1.65 1.162e-11
1.75 1.124e-11
1.85 1.079e-11
1.95 1.002e-11
2.05 9.105e-12
2.15 8.713e-12
2.25 8.759e-12
2.35 8.724e-12
2.45 8.162e-12
2.55 7.501e-12
2.65 6.993e-12
2.75 6.177e-12
2.85 4.812e-12
2.95 3.476e-12
3.05 2.392e-12
3.15 1.728e-12
3.25 1.122e-12
3.35 4.984e-13
3.45 1.331e-13
3.55 1.174e-13
3.65 1.069e-13
3.75 9.548e-14
3.85 8.515e-14
3.95 7.587e-14
4.05 6.864e-14
4.15 6.606e-14
4.25 6.086e-14
4.35 5.207e-14
4.45 4.314e-14
4.55 3.377e-14
4.65 2.555e-14
4.75 2.068e-14
4.85 1.807e-14
4.95 1.602e-14
5.05 1.426e-14
5.15 1.37e-14
5.25 1.259e-14
5.35 1.191e-14
5.45 1.149e-14
5.55 1.013e-14
5.65 8.154e-15
5.75 6.028e-15
5.85 3.595e-15
5.95 2.653e-15
6.05 2.975e-15
6.15 3.335e-15
6.25 3.593e-15
6.35 3.387e-15
6.45 3.236e-15
6.55 3.061e-15
6.65 2.694e-15
6.75 2.525e-15
6.85 2.297e-15
6.95 1.857e-15
7.05 1.281e-15
7.15 6.709e-16
7.25 1.02e-16
7.35 8.524e-19
7.45 7.553e-19
7.55 6.558e-19
7.65 5.55e-19
7.75 4.539e-19
7.85 3.53e-19
7.95 2.546e-19
8.05 1.691e-19
8.15 8.628e-20
8.25 1.228e-20
8.35 0
8.45 0
8.55 0
8.65 0
8.75 0
8.85 0
8.95 0
9.05 0
9.15 0
9.25 0
9.35 0
9.45 0
9.55 0
9.65 0
9.75 0
9.85 0
9.95 0
