unit: MeV
spectrum:
0.05 1.672e-11
0.15 2.93e-11
0.25 3.612e-11
0.35 4.054e-11
0.45 4.344e-11
0.55 4.523e-11
0.65 4.617e-11
0.75 4.645e-11
0.85 4.619e-11
0.95 4.552e-11
1.05 4.452e-11
1.15 4.326e-11
1.25 4.181e-11
1.35 4.02e-11
1.45 3.849e-11
1.55 3.671e-11
1.65 3.49e-11
1.75 3.307e-11
1.85 3.124e-11
1.95 2.944e-11
2.05 2.767e-11
2.15 2.596e-11
2.25 2.429e-11
2.35 2.269e-11
2.45 2.116e-11
2.55 1.97e-11
2.65 1.831e-11
2.75 1.699e-11
2.85 1.574e-11
2.95 1.456e-11
3.05 1.346e-11
3.15 1.242e-11
3.25 1.145e-11
3.35 1.055e-11
3.45 9.704e-12
3.55 8.918e-12
3.65 8.187e-12
3.75 7.51e-12
3.85 6.882e-12
3.95 6.301e-12
4.05 5.765e-12
4.15 5.27e-12
4.25 4.813e-12
4.35 4.393e-12
4.45 4.007e-12
4.55 3.652e-12
4.65 3.326e-12
4.75 3.028e-12
4.85 2.754e-12
4.95 2.504e-12
5.05 2.275e-12
5.15 2.066e-12
5.25 1.875e-12
5.35 1.701e-12
5.45 1.542e-12
5.55 1.397e-12
5.65 1.265e-12
5.75 1.145e-12
5.85 1.036e-12
5.95 9.371e-13
6.05 8.471e-13
6.15 7.654e-13
6.25 6.913e-13
6.35 6.241e-13
6.45 5.632e-13
6.55 5.081e-13
6.65 4.581e-13
6.75 4.129e-13
6.85 3.721e-13
6.95 3.352e-13
7.05 3.018e-13
7.15 2.716e-13
7.25 2.444e-13
7.35 2.198e-13
7.45 1.977e-13
7.55 1.777e-13
7.65 1.597e-13
7.75 1.434e-13
7.85 1.288e-13
7.95 1.156e-13
8.05 1.038e-13
8.15 9.31e-14
8.25 8.356e-14
8.35 7.49e-14
8.45 6.717e-14
8.55 6.02e-14
8.65 5.395e-14
8.75 4.83e-14
8.85 4.328e-14
8.95 3.875e-14
9.05 3.468e-14
9.15 3.106e-14
9.25 2.776e-14
9.35 2.487e-14
9.45 2.22e-14
9.55 1.988e-14
9.65 1.776e-14
9.75 1.587e-14
9.85 1.418e-14
9.95 1.269e-14
