unit: MeV
spectrum:
0.05 3.398e-12
0.15 4.886e-12
0.25 5.692e-12
0.35 6.121e-12
0.45 6.457e-12
0.55 6.658e-12
0.65 6.827e-12
0.75 6.87e-12
0.85 6.843e-12
0.95 6.813e-12
1.05 6.665e-12
1.15 6.553e-12
1.25 6.325e-12
1.35 6.261e-12
1.45 6.265e-12
1.55 6.161e-12
1.65 6.075e-12
1.75 6.109e-12
1.85 6.188e-12
1.95 6.358e-12
2.05 6.509e-12
2.15 6.647e-12
2.25 6.817e-12
2.35 6.952e-12
2.45 6.84e-12
2.55 6.749e-12
2.65 6.608e-12
2.75 6.291e-12
2.85 5.896e-12
2.95 5.5e-12
3.05 5.126e-12
3.15 4.715e-12
3.25 4.262e-12
3.35 3.852e-12
3.45 3.436e-12
3.55 3.038e-12
3.65 2.735e-12
3.75 2.437e-12
3.85 2.242e-12
3.95 2.117e-12
4.05 1.969e-12
4.15 1.818e-12
4.25 1.687e-12
4.35 1.584e-12
4.45 1.44e-12
4.55 1.299e-12
4.65 1.172e-12
4.75 1.057e-12
4.85 9.494e-13
4.95 8.445e-13
5.05 7.515e-13
5.15 6.628e-13
5.25 5.761e-13
5.35 4.917e-13
5.45 4.097e-13
5.55 3.31e-13
5.65 2.56e-13
5.75 1.838e-13
5.85 1.183e-13
5.95 8.869e-14
6.05 6.708e-14
6.15 4.611e-14
6.25 3.22e-14
6.35 2.367e-14
6.45 1.567e-14
6.55 8.243e-15
6.65 6.044e-15
6.75 5.491e-15
6.85 4.952e-15
6.95 4.428e-15
7.05 3.917e-15
7.15 3.419e-15
7.25 2.933e-15
7.35 2.455e-15
7.45 1.987e-15
7.55 1.53e-15
7.65 1.083e-15
7.75 6.444e-16
7.85 2.143e-16
7.95 0
8.05 0
8.15 0
8.25 0
8.35 0
8.45 0
8.55 0
8.65 0
8.75 0
8.85 0
8.95 0
9.05 0
9.15 0
9.25 0
9.35 0
9.45 0
9.55 0
9.65 0
9.75 0
9.85 0
9.95 0
