unit: MeV
spectrum:
0.05 1.972e-12
0.15 2.644e-12
0.25 3.167e-12
0.35 3.667e-12
0.45 4.132e-12
0.55 4.535e-12
0.65 4.892e-12
0.75 5.214e-12
0.85 5.493e-12
0.95 5.671e-12
1.05 5.723e-12
1.15 5.772e-12
1.25 5.788e-12
1.35 5.71e-12
1.45 5.526e-12
1.55 5.275e-12
1.65 5.083e-12
1.75 4.874e-12
1.85 4.626e-12
1.95 4.386e-12
2.05 4.122e-12
2.15 3.863e-12
2.25 3.697e-12
2.35 3.555e-12
2.45 3.404e-12
2.55 3.336e-12
2.65 3.29e-12
2.75 3.269e-12
2.85 3.252e-12
2.95 3.239e-12
3.05 3.24e-12
3.15 3.224e-12
3.25 3.158e-12
3.35 3.084e-12
3.45 2.976e-12
3.55 2.792e-12
3.65 2.596e-12
3.75 2.385e-12
3.85 2.166e-12
3.95 1.947e-12
4.05 1.749e-12
4.15 1.56e-12
4.25 1.372e-12
4.35 1.194e-12
4.45 1.025e-12
4.55 8.726e-13
4.65 7.608e-13
4.75 6.657e-13
4.85 5.744e-13
4.95 5.116e-13
5.05 4.729e-13
5.15 4.401e-13
5.25 3.998e-13
5.35 3.623e-13
5.45 3.292e-13
5.55 2.974e-13
5.65 2.671e-13
5.75 2.395e-13
5.85 2.162e-13
5.95 1.94e-13
6.05 1.727e-13
6.15 1.525e-13
6.25 1.331e-13
6.35 1.144e-13
6.45 9.652e-14
6.55 7.946e-14
6.65 6.336e-14
6.75 4.806e-14
6.85 3.339e-14
6.95 2.21e-14
7.05 1.688e-14
7.15 1.213e-14
7.25 8.162e-15
7.35 6.144e-15
7.45 4.363e-15
7.55 2.663e-15
7.65 1.616e-15
7.75 1.463e-15
7.85 1.321e-15
7.95 1.183e-15
8.05 1.047e-15
8.15 9.14e-16
8.25 7.845e-16
8.35 6.586e-16
8.45 5.375e-16
8.55 4.214e-16
8.65 3.098e-16
8.75 2.007e-16
8.85 9.404e-17
8.95 8.408e-18
9.05 1.013e-19
9.15 8.726e-20
9.25 7.359e-20
9.35 6.036e-20
9.45 4.758e-20
9.55 3.525e-20
9.65 2.399e-20
9.75 1.425e-20
9.85 4.821e-21
9.95 1.956e-24
