unit: MeV
spectrum:
0.05 4.917e-11
0.15 5.967e-11
0.25 6.719e-11
0.35 7.34e-11
0.45 7.702e-11
0.55 7.761e-11
0.65 7.8e-11
0.75 7.829e-11
0.85 7.91e-11
0.95 8.148e-11
1.05 8.487e-11
1.15 8.977e-11
1.25 9.394e-11
1.35 9.762e-11
1.45 1.013e-10
1.55 1.05e-10
1.65 1.083e-10
1.75 1.101e-10
1.85 1.097e-10
1.95 1.088e-10
2.05 1.072e-10
2.15 1.049e-10
2.25 1.005e-10
2.35 9.505e-11
2.45 8.811e-11
2.55 8.121e-11
2.65 7.462e-11
2.75 6.959e-11
2.85 6.542e-11
2.95 6.119e-11
3.05 5.716e-11
3.15 5.299e-11
3.25 4.915e-11
3.35 4.75e-11
3.45 4.598e-11
3.55 4.39e-11
3.65 4.252e-11
3.75 4.091e-11
3.85 3.87e-11
3.95 3.624e-11
4.05 3.394e-11
4.15 3.139e-11
4.25 2.826e-11
4.35 2.523e-11
4.45 2.232e-11
4.55 1.959e-11
4.65 1.698e-11
4.75 1.449e-11
4.85 1.222e-11
4.95 1.028e-11
5.05 8.58e-12
5.15 7.13e-12
5.25 5.771e-12
5.35 4.488e-12
5.45 3.298e-12
5.55 2.201e-12
5.65 1.515e-12
5.75 1.154e-12
5.85 8.499e-13
5.95 5.977e-13
6.05 4.515e-13
6.15 3.289e-13
6.25 2.11e-13
6.35 1.375e-13
6.45 1.187e-13
6.55 1.035e-13
6.65 8.879e-14
6.75 7.476e-14
6.85 6.14e-14
6.95 5.031e-14
7.05 4.078e-14
7.15 3.324e-14
7.25 2.669e-14
7.35 2.028e-14
7.45 1.402e-14
7.55 7.901e-15
7.65 3.05e-15
7.75 2.016e-15
7.85 1.843e-15
7.95 1.685e-15
8.05 1.539e-15
8.15 1.406e-15
8.25 1.285e-15
8.35 1.173e-15
8.45 1.071e-15
8.55 9.775e-16
8.65 8.919e-16
8.75 8.138e-16
8.85 7.422e-16
8.95 6.77e-16
9.05 6.172e-16
9.15 5.627e-16
9.25 5.128e-16
9.35 4.674e-16
9.45 4.257e-16
9.55 3.878e-16
9.65 3.532e-16
9.75 3.215e-16
9.85 2.927e-16
9.95 2.665e-16
