unit: MeV
spectrum:
0.05 1.413e-11
0.15 1.684e-11
0.25 1.807e-11
0.35 1.588e-11
0.45 1.347e-11
0.55 1.351e-11
0.65 1.391e-11
0.75 1.377e-11
0.85 1.32e-11
0.95 1.281e-11
1.05 1.257e-11
1.15 1.219e-11
1.25 1.192e-11
1.35 1.165e-11
1.45 1.131e-11
1.55 1.032e-11
1.65 9.169e-12
1.75 8.17e-12
1.85 6.874e-12
1.95 5.393e-12
2.05 4.544e-12
2.15 3.871e-12
2.25 3.089e-12
2.35 2.322e-12
2.45 2.01e-12
2.55 1.866e-12
2.65 1.805e-12
2.75 1.728e-12
2.85 1.569e-12
2.95 1.501e-12
3.05 1.545e-12
3.15 1.549e-12
3.25 1.396e-12
3.35 1.213e-12
3.45 1.03e-12
3.55 9.165e-13
3.65 8.12e-13
3.75 6.969e-13
3.85 5.628e-13
3.95 5.183e-13
4.05 5.124e-13
4.15 5.32e-13
4.25 5.788e-13
4.35 6.354e-13
4.45 6.768e-13
4.55 7.103e-13
4.65 7.385e-13
4.75 7.604e-13
4.85 7.701e-13
4.95 7.777e-13
5.05 7.784e-13
5.15 7.665e-13
5.25 7.525e-13
5.35 7.364e-13
5.45 7.189e-13
5.55 6.979e-13
5.65 6.756e-13
5.75 6.573e-13
5.85 6.448e-13
5.95 6.373e-13
6.05 6.302e-13
6.15 6.246e-13
6.25 6.118e-13
6.35 5.904e-13
6.45 5.613e-13
6.55 5.237e-13
6.65 4.82e-13
6.75 4.401e-13
6.85 4.022e-13
6.95 3.694e-13
7.05 3.364e-13
7.15 3.041e-13
7.25 2.739e-13
7.35 2.446e-13
7.45 2.163e-13
7.55 1.951e-13
7.65 1.762e-13
7.75 1.575e-13
7.85 1.392e-13
7.95 1.226e-13
8.05 1.13e-13
8.15 1.047e-13
8.25 9.662e-14
8.35 8.888e-14
8.45 8.131e-14
8.55 7.301e-14
8.65 6.398e-14
8.75 5.521e-14
8.85 4.692e-14
8.95 3.907e-14
9.05 3.154e-14
9.15 2.432e-14
9.25 1.742e-14
9.35 1.086e-14
9.45 4.582e-15
9.55 1.937e-16
9.65 0
9.75 0
9.85 0
9.95 0
