unit: MeV
spectrum:
0.05 8.008e-12
0.15 9.741e-12
0.25 1.157e-11
0.35 1.32e-11
0.45 1.366e-11
0.55 1.281e-11
0.65 1.189e-11
0.75 1.154e-11
0.85 1.243e-11
0.95 1.392e-11
1.05 1.542e-11
1.15 1.639e-11
1.25 1.586e-11
1.35 1.489e-11
1.45 1.4e-11
1.55 1.291e-11
1.65 1.226e-11
1.75 1.198e-11
1.85 1.16e-11
1.95 1.109e-11
2.05 1.042e-11
2.15 9.974e-12
2.25 9.682e-12
2.35 9.354e-12
2.45 8.644e-12
2.55 7.809e-12
2.65 7.132e-12
2.75 6.331e-12
2.85 5.178e-12
2.95 4.075e-12
3.05 3.175e-12
3.15 2.678e-12
3.25 2.213e-12
3.35 1.698e-12
3.45 1.345e-12
3.55 1.248e-12
3.65 1.214e-12
3.75 1.165e-12
3.85 1.099e-12
3.95 1.028e-12
4.05 9.861e-13
4.15 9.118e-13
4.25 8.22e-13
4.35 7.249e-13
4.45 6.233e-13
4.55 5.306e-13
4.65 4.635e-13
4.75 3.942e-13
4.85 3.229e-13
4.95 2.584e-13
5.05 2.464e-13
5.15 2.445e-13
5.25 2.402e-13
5.35 2.351e-13
5.45 2.301e-13
5.55 2.22e-13
5.65 2.136e-13
5.75 2.062e-13
5.85 2.002e-13
5.95 1.974e-13
6.05 1.971e-13
6.15 1.973e-13
6.25 1.964e-13
6.35 1.932e-13
6.45 1.869e-13
6.55 1.778e-13
6.65 1.668e-13
6.75 1.558e-13
6.85 1.447e-13
6.95 1.334e-13
7.05 1.22e-13
7.15 1.108e-13
7.25 1.001e-13
7.35 8.967e-14
7.45 8.044e-14
7.55 7.273e-14
7.65 6.53e-14
7.75 5.919e-14
7.85 5.34e-14
7.95 4.777e-14
8.05 4.257e-14
8.15 3.781e-14
8.25 3.368e-14
8.35 3.075e-14
8.45 2.799e-14
8.55 2.495e-14
8.65 2.171e-14
8.75 1.962e-14
8.85 1.808e-14
8.95 1.662e-14
9.05 1.521e-14
9.15 1.387e-14
9.25 1.258e-14
9.35 1.136e-14
9.45 1.019e-14
9.55 9.064e-15
9.65 7.985e-15
9.75 6.952e-15
9.85 5.965e-15
9.95 5.014e-15
