unit: MeV
spectrum:
0.05 1.093e-12
0.15 9.262e-13
0.25 8.745e-13
0.35 9.323e-13
0.45 9.738e-13
0.55 9.714e-13
0.65 9.236e-13
0.75 8.911e-13
0.85 8.635e-13
0.95 8.341e-13
1.05 8.06e-13
1.15 7.766e-13
1.25 7.39e-13
1.35 6.581e-13
1.45 5.746e-13
1.55 5.075e-13
1.65 4.25e-13
1.75 3.537e-13
1.85 3.069e-13
1.95 2.57e-13
2.05 2.061e-13
2.15 1.758e-13
2.25 1.595e-13
2.35 1.493e-13
2.45 1.391e-13
2.55 1.257e-13
2.65 1.124e-13
2.75 1.086e-13
2.85 1.078e-13
2.95 1.02e-13
3.05 8.897e-14
3.15 7.572e-14
3.25 6.602e-14
3.35 5.943e-14
3.45 5.27e-14
3.55 4.534e-14
3.65 4.272e-14
3.75 4.592e-14
3.85 4.842e-14
3.95 4.871e-14
4.05 4.835e-14
4.15 4.984e-14
4.25 5.298e-14
4.35 5.681e-14
4.45 6.046e-14
4.55 6.371e-14
4.65 6.639e-14
4.75 6.882e-14
4.85 7.1e-14
4.95 7.244e-14
5.05 7.325e-14
5.15 7.346e-14
5.25 7.316e-14
5.35 7.247e-14
5.45 7.141e-14
5.55 6.962e-14
5.65 6.772e-14
5.75 6.626e-14
5.85 6.463e-14
5.95 6.328e-14
6.05 6.264e-14
6.15 6.224e-14
6.25 6.12e-14
6.35 5.939e-14
6.45 5.684e-14
6.55 5.374e-14
6.65 5.035e-14
6.75 4.695e-14
6.85 4.356e-14
6.95 4.016e-14
7.05 3.694e-14
7.15 3.401e-14
7.25 3.13e-14
7.35 2.858e-14
7.45 2.588e-14
7.55 2.322e-14
7.65 2.07e-14
7.75 1.851e-14
7.85 1.655e-14
7.95 1.469e-14
8.05 1.304e-14
8.15 1.149e-14
8.25 9.997e-15
8.35 8.607e-15
8.45 7.272e-15
8.55 5.931e-15
8.65 4.731e-15
8.75 3.698e-15
8.85 2.919e-15
8.95 2.185e-15
9.05 1.481e-15
9.15 8.053e-16
9.25 2.095e-16
9.35 1.24e-17
9.45 1.112e-17
9.55 1.013e-17
9.65 9.225e-18
9.75 8.397e-18
9.85 7.645e-18
9.95 6.96e-18
